Question,1,2,3,4,Answer
Which one is the smallest ocean in the world? ,Indian,Pacific,Atlantic,Arctic,Arctic
Which country has the most number of lakes?,Canada,USA,Finland,Brazil,Canada
In which ocean Bermuda Triangle region is located? ,Atlantic,Indian,Pacific,Arctic,Atlantic
In which country statue of liberty is located?,Spain,Portugal,Italy,USA,USA
Total number of oceans in the world,3,5,7,12,5
"In which country, white elephant is found?",India,Sri Lanka,Thailand,Malaysia,Thailand
Worlds longest straight road is located in?,USA,Australia,Saudi Arabia,China,Saudi Arabia
Which one is the biggest island in the world?,Borneo,Finland,Sumatra,Greenland,Greenland
Which one is the largest tropical rain forest in the world?,Amazon,Bosawas,Southeast Asian Rain Forest,Daintree Rain Forest,Amazon
"Which river is flowing through the London City, England?",Severn,Thames,Volga,None of the avobe,Thames
